"","X.5376B385.492D.34C1.E053.6B04A8C09FF6.","X127000","X2017.05.12.00.00","DE21.4ND","S","N","F","X44","X","RUPERT.ROAD","CHADDESDEN","DERBY","CITY.OF.DERBY","CITY.OF.DERBY.1","A","A.1"
"437","{5376B385-5201-34C1-E053-6B04A8C09FF6}",470000,"2017-05-25 00:00","E3 3AE","F","N","L","CASPIAN WHARF, 1","FLAT 18","YEO STREET","","LONDON","TOWER HAMLETS","GREATER LONDON","A","A"
"438","{5376B385-5202-34C1-E053-6B04A8C09FF6}",550000,"2017-04-27 00:00","N7 7AT","F","N","L","BLOCK E, 34","APARTMENT 7","HORNSEY ROAD","","LONDON","ISLINGTON","GREATER LONDON","A","A"
"439","{5376B385-5203-34C1-E053-6B04A8C09FF6}",205000,"2017-05-25 00:00","IG2 6EZ","F","N","L","19","","PANFIELD MEWS","","ILFORD","REDBRIDGE","GREATER LONDON","A","A"
"440","{5376B385-5204-34C1-E053-6B04A8C09FF6}",432500,"2017-06-01 00:00","IG3 8JF","S","N","F","2","","SUFFOLK ROAD","","ILFORD","REDBRIDGE","GREATER LONDON","A","A"
"441","{5376B385-5205-34C1-E053-6B04A8C09FF6}",580000,"2017-06-01 00:00","E1 8GH","F","N","L","SUGAR HOUSE, 99","24","LEMAN STREET","","LONDON","TOWER HAMLETS","GREATER LONDON","A","A"
"442","{5376B385-5206-34C1-E053-6B04A8C09FF6}",390000,"2017-05-08 00:00","E2 7DN","F","N","L","11","","MANSFORD STREET","","LONDON","TOWER HAMLETS","GREATER LONDON","A","A"
"443","{5376B385-5207-34C1-E053-6B04A8C09FF6}",330000,"2017-05-24 00:00","RM11 2SQ","T","N","F","172","","SOUTHEND ARTERIAL ROAD","","HORNCHURCH","HAVERING","GREATER LONDON","A","A"
"444","{5376B385-5208-34C1-E053-6B04A8C09FF6}",140000,"2017-05-26 00:00","E3 2ZF","F","N","L","MAY HOUSE, 3","FLAT 27","THOMAS FYRE DRIVE","","LONDON","TOWER HAMLETS","GREATER LONDON","A","A"
"445","{5376B385-5209-34C1-E053-6B04A8C09FF6}",700000,"2017-06-15 00:00","EC2Y 8HD","F","N","L","908","","FROBISHER CRESCENT","","LONDON","CITY OF LONDON","GREATER LONDON","A","A"
"446","{5376B385-520B-34C1-E053-6B04A8C09FF6}",253000,"2017-05-19 00:00","IG1 1YT","F","N","L","RAPHAEL HOUSE, 250","FLAT 703","HIGH ROAD","","ILFORD","REDBRIDGE","GREATER LONDON","A","A"
"447","{5376B385-520C-34C1-E053-6B04A8C09FF6}",345000,"2017-06-02 00:00","N1 4AU","F","N","L","30","FLAT 2","BALLS POND ROAD","","LONDON","ISLINGTON","GREATER LONDON","A","A"
"448","{5376B385-5405-34C1-E053-6B04A8C09FF6}",72500,"2017-05-31 00:00","TN37 6JE","F","N","L","11","LOWER GROUND FLOOR FLAT","TOWER ROAD","","ST LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","B","A"
"449","{5376B385-5406-34C1-E053-6B04A8C09FF6}",475000,"2017-06-05 00:00","TN21 9DT","D","N","F","LONGVIEW","","NORTH STREET","PUNNETTS TOWN","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"450","{5376B385-5407-34C1-E053-6B04A8C09FF6}",150000,"2017-05-19 00:00","TN6 3EJ","T","N","F","1","","WESTERN ROAD","","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"451","{5376B385-5408-34C1-E053-6B04A8C09FF6}",117500,"2017-05-26 00:00","TN37 6BL","F","N","L","ALAN COURT","FLAT 3","TERRACE ROAD","","ST LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"452","{5376B385-5409-34C1-E053-6B04A8C09FF6}",275000,"2017-06-09 00:00","TN39 3UQ","T","N","F","33","","JARVIS BROOK CLOSE","","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"453","{5376B385-540A-34C1-E053-6B04A8C09FF6}",305000,"2017-05-30 00:00","BN2 1AJ","F","N","L","82","FLAT 5","MARINE PARADE","","BRIGHTON","BRIGHTON AND HOVE","BRIGHTON AND HOVE","B","A"
"454","{5376B385-540B-34C1-E053-6B04A8C09FF6}",205000,"2017-06-21 00:00","TN39 3DB","F","N","L","LLEWELYN LODGE, 21","FLAT 3","COODEN DRIVE","","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"455","{5376B385-540C-34C1-E053-6B04A8C09FF6}",125000,"2017-05-26 00:00","TN35 5HN","F","N","L","18","","BRACKENDALE","","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"456","{5376B385-540D-34C1-E053-6B04A8C09FF6}",222500,"2017-06-09 00:00","BN23 5AW","F","N","L","240","","MACQUARIE QUAY","","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"457","{5376B385-540E-34C1-E053-6B04A8C09FF6}",420000,"2017-05-30 00:00","TN22 5AE","S","N","F","72","","NEW TOWN","","UCKFIELD","WEALDEN","EAST SUSSEX","A","A"
"458","{5376B385-540F-34C1-E053-6B04A8C09FF6}",650000,"2017-06-19 00:00","TN31 6EU","D","N","F","WHITE ACRES","","CHITCOMBE ROAD","BROAD OAK","RYE","ROTHER","EAST SUSSEX","A","A"
"459","{5376B385-5410-34C1-E053-6B04A8C09FF6}",415000,"2017-06-15 00:00","BN3 7AW","F","N","L","ORCHARD HOUSE","FLAT 25","PARK VIEW ROAD","","HOVE","BRIGHTON AND HOVE","BRIGHTON AND HOVE","A","A"
"460","{5376B385-5411-34C1-E053-6B04A8C09FF6}",70000,"2017-06-12 00:00","BN21 3ET","F","N","L","BOURNESIDE COURT","FLAT 12","SEASIDE ROAD","","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"461","{5376B385-5412-34C1-E053-6B04A8C09FF6}",440120,"2017-05-23 00:00","BN3 1EE","F","N","L","38","FLAT 6","BRUNSWICK SQUARE","","HOVE","BRIGHTON AND HOVE","BRIGHTON AND HOVE","A","A"
"462","{5376B385-5413-34C1-E053-6B04A8C09FF6}",159950,"2017-06-09 00:00","BN21 4XF","F","N","L","BEAUMONT HOUSE, 16A","FLAT 1","SOUTH STREET","","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"463","{5376B385-5414-34C1-E053-6B04A8C09FF6}",275000,"2017-04-12 00:00","BN23 5AX","F","N","L","125","","CAROLINE WAY","","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"464","{5376B385-5415-34C1-E053-6B04A8C09FF6}",165000,"2017-02-20 00:00","TN38 9SF","T","N","F","37","","CHATFIELD CLOSE","","ST LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"465","{5376B385-5416-34C1-E053-6B04A8C09FF6}",104000,"2017-06-09 00:00","BN21 3SJ","F","N","L","53","GARDEN FLAT","LONGSTONE ROAD","","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"466","{5376B385-5417-34C1-E053-6B04A8C09FF6}",161000,"2017-05-24 00:00","TN39 3UE","F","N","L","6","","HIGHWOODS COURT","","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"467","{5376B385-5418-34C1-E053-6B04A8C09FF6}",253000,"2017-03-31 00:00","BN1 5AE","F","N","L","278","FLAT 2","DYKE ROAD","","BRIGHTON","BRIGHTON AND HOVE","BRIGHTON AND HOVE","A","A"
"468","{5376B385-5419-34C1-E053-6B04A8C09FF6}",442000,"2017-06-09 00:00","BN1 9AL","D","N","F","1","","RIDGE VIEW","","BRIGHTON","BRIGHTON AND HOVE","BRIGHTON AND HOVE","A","A"
"469","{5376B385-541A-34C1-E053-6B04A8C09FF6}",258000,"2017-05-09 00:00","BN23 5AX","F","N","L","103","","CAROLINE WAY","","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"470","{5376B385-541B-34C1-E053-6B04A8C09FF6}",332500,"2017-06-16 00:00","TN6 1JG","S","N","F","7","","WHITEHILL CLOSE","","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"471","{5376B385-541C-34C1-E053-6B04A8C09FF6}",205000,"2017-05-25 00:00","BN21 2HT","F","N","L","KINGS MOUNT, 20","FLAT 7","ST ANNES ROAD","","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"472","{5376B385-541D-34C1-E053-6B04A8C09FF6}",180000,"2017-05-26 00:00","TN40 1PH","F","N","L","OXSHOTT COURT","3","SUTTON PLACE","","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","B","A"
"473","{5376B385-541E-34C1-E053-6B04A8C09FF6}",246000,"2017-05-30 00:00","BN20 7PX","F","N","L","THE MOUNT","7","MEADS ROAD","","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"474","{5376B385-541F-34C1-E053-6B04A8C09FF6}",155000,"2017-05-22 00:00","BN10 7NW","F","N","L","HOWARD COURT","FLAT 7","ARUNDEL ROAD CENTRAL","","PEACEHAVEN","LEWES","EAST SUSSEX","B","A"
"475","{5376B385-5421-34C1-E053-6B04A8C09FF6}",535000,"2017-06-01 00:00","TN21 8SG","D","N","F","HAWTHORNS","","BROADHILL CLOSE","BROAD OAK","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"476","{5376B385-5422-34C1-E053-6B04A8C09FF6}",190000,"2017-05-26 00:00","BN3 3GL","F","N","L","HAREWOOD COURT","90","WILBURY ROAD","","HOVE","BRIGHTON AND HOVE","BRIGHTON AND HOVE","A","A"
"477","{5376B385-5423-34C1-E053-6B04A8C09FF6}",300000,"2017-05-31 00:00","BN1 4JR","T","N","F","11","","KINGSBURY ROAD","","BRIGHTON","BRIGHTON AND HOVE","BRIGHTON AND HOVE","A","A"
